111年06月 2330 台積電           各日成交資訊,,,,,,,,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/06/01,"32,970,903","18,171,598,472",550,555,548,549,-11,"33,456"
111/06/02,"26,063,495","14,122,936,388",544,545,540,540,-9,"30,042"
111/06/06,"23,732,327","12,843,324,209",541,544,538,540,0,"16,614"
111/06/07,"22,152,512","11,846,386,906",535,538,532,535,-5,"28,586"
111/06/08,"19,609,522","10,636,701,303",539,545,538,544,9,"18,487"
111/06/09,"16,894,479","9,115,934,006",538,542,537,541,-3,"18,802"
111/06/10,"22,614,596","12,011,615,014",530,533,529,530,-11,"44,802"
111/06/13,"36,758,925","18,998,155,460",518,519,515,516,-14,"112,023"
111/06/14,"38,838,778","19,813,036,892",507,514,507,513,-3,"85,483"
111/06/15,"38,360,508","19,580,150,319",508,515,508,509,-4,"72,687"
111/06/16,"31,908,028","16,331,470,764",515,516,507,508,X0.00,"42,177"
111/06/17,"48,400,798","24,260,277,915",499.5,503,499,501,-7,"119,618"
111/06/20,"36,664,463","18,267,359,790",500,502,495,498,-3,"89,541"
111/06/21,"34,432,537","17,298,234,720",501,505,499,505,7,"32,427"
111/06/22,"33,438,921","16,630,857,096",501,503,494.5,494.5,-10.5,"81,024"
111/06/23,"46,808,462","22,836,692,325",492,493.5,485,485.5,-9,"104,661"
111/06/24,"29,003,676","14,184,287,155",489.5,492.5,485.5,486.5,1,"43,609"
111/06/27,"38,684,368","19,379,396,938",496,506,495.5,498.5,12,"37,438"
111/06/28,"16,867,955","8,392,290,378",496,500,496,497.5,-1,"18,988"
111/06/29,"33,124,986","16,352,376,816",496,498.5,491,491,-6.5,"40,024"
111/06/30,"49,820,824","23,900,613,642",484.5,486.5,476,476,-15,"111,117"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
